Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
152,71,71,71 AMSTERDAM-MICHOACAN,19.411423000000003,-99.171351,Hipodromo,71 AMSTERDAM-MICHOACAN,19.411423000000003,-99.171351,Hipodromo
151,74,84,74 NUEVO LEON-OZULAMA,19.410343,-99.172831,Hipodromo,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo
151,271,270,271 AV. CENTRAL-J. MENESES ,19.443928,-99.152525,Buenavista,270 DE LA REPUBLICA-PONCIANO ARRIAGA ,19.43676,-99.15387,Tabacalera
150,10,18,10 REFORMA-RAMIREZ,19.433321,-99.154752,Tabacalera,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
150,210,206,210 EUGENIO SUE-HORACIO ,19.434076,-99.194091,Polanco,206 MOLIERE-HOMERO ,19.435798000000002,-99.201419,Polanco
149,61,84,61 AVENIDA MEXICO-SONORA,19.413742000000003,-99.169525,Hipodromo,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo
149,47,47,47 GLORIETA CIBELES-OAXACA,19.419515,-99.166299,Roma Norte,47 GLORIETA CIBELES-OAXACA,19.419515,-99.166299,Roma Norte
149,1,99,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,99 ERNESTO PUGIBET-LUIS MOYA,19.42995,-99.14591,Centro
148,64,71,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo,71 AMSTERDAM-MICHOACAN,19.411423000000003,-99.171351,Hipodromo
147,126,141,126 JALAPA-PUEBLA,19.422288,-99.162138,Roma Norte,141 ZACATECAS-LUIS CABRERA,19.415905,-99.15954,Roma Norte
146,155,158,E155 JALAPA-TLAXCALA,19.408217999999998,-99.159911,Roma Sur,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur
146,208,217,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco,217 EULER-AV. HORACIO ,19.432888000000002,-99.183605,Polanco
145,53,53,53 FERNANDO MONTES DE OCA-TULA,19.414773,-99.178433,Condesa,53 FERNANDO MONTES DE OCA-TULA,19.414773,-99.178433,Condesa
145,16,16,16 REFORMA-RÍO TIBER,19.427226,-99.168242,Cuauhtemoc,16 REFORMA-RÍO TIBER,19.427226,-99.168242,Cuauhtemoc
145,77,67,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo,67 VICENTE SUAREZ-MICHOACAN,19.411797,-99.17588,Condesa
145,27,52,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,52 HIDALGO-TRUJANO,19.436235999999997,-99.142039,Centro
145,82,124,82 INDEPENDENCIA-MARROQUI,19.433115,-99.143686,Centro,124 CLAUDIO BERNARD-DR. LICEAGA,19.422392000000002,-99.150358,Ampliacion Granada
